ID,anteriorcoronaradiata,anteriorlimbofinternalcapsule,bodyofcorpuscallosum,corticospinaltract,externalcapsule,fornixcres.striaterminalis,fornix,genuofcorpuscallosum,posteriorcoronaradiata,posteriorlimbofinternalcapsule,posteriorthalamicradiation,retrolenticularpartofinternalcapsule,sagittalstratum,spleniumofcorpuscallosum,superiorcoronaradiata,superiorfronto.occipitalfasciculus,superiorlongitudinalfasciculus,uncinatefasciculus,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal,accumbens,amygdala,caudate,hippocampus,pallidum,putamen,thalamus,ventricularcerebrospinalfluid
162935,0.223439,0.806157,1.45241,1.75157,0.520577,1.0438,-0.105033,0.45614,0.155502,-0.12182,0.902257,-0.0429022,0.598615,-0.393546,0.0429022,0.512409,1.12981,-0.406452,-0.596012,-0.623108,-0.0157515,0.313317,-1.44303,-0.991658,0.0202524,0.721866,0.0765787,-0.825063,1.315,0.991658,-0.306235,1.15144,-1.20551,-0.00450025,-0.634074,-0.370578,-0.387503,0.0270047,-0.231565,1.03297,0.0901265,-0.75138,-0.190149,0.00450025,-1.47566,-0.545691,-1.05627,0.0675548,-0.82823,0.00900058,-0.601396,0.596012,0.220024,1.29914,-0.561427,-1.51701,-0.757362,0.37299,-0.126342
163129,-1.34475,-0.853222,-0.972507,1.42557,0.760814,-0.0691541,0.980182,-0.520577,-0.863554,-0.832826,-0.995709,-1.87468,0.252855,-1.01546,-0.564751,-1.25597,-0.294912,0.480068,2.00575,1.73588,-0.171851,1.30439,0.574648,-0.930939,-0.653452,0.754368,0.0315068,1.2836,0.18328,0.664635,-0.948434,-0.339423,-0.443932,-1.05235,0.142235,0.496716,0.434021,-0.806234,-0.210812,1.41799,0.217719,-0.527501,0.0652997,0.704456,0.790759,-1.05627,-0.614932,0.941402,-0.609504,0.451394,-0.850633,-1.9426,0.0247538,-0.101429,-0.434021,-0.208512,-0.411875,-1.26335,-0.667444
163331,-1.14345,-2.14044,-2.03526,0.542531,-0.534268,-0.257778,0.299893,-2.01671,0.27506,-0.786527,-0.138641,0.0333644,-0.019063,-0.880983,-1.02751,-1.9487,-0.450859,1.43886,1.3762,0.812479,0.92402,0.0360096,-0.721866,0.409427,0.934415,1.81179,1.21017,0.68441,-1.68722,0.690109,-0.451394,1.2485,-0.245455,1.10468,0.876772,1.63364,1.35335,-0.11048,1.14708,0.443932,1.86035,0.995344,1.65983,1.12988,-1.09643,1.27849,1.26335,1.46901,1.20087,1.8003,1.41187,1.73588,1.113,2.61294,0.301522,0.238504,1.9892,1.5387,0.289769
163432,1.05205,0.880983,-0.770397,0.601468,0.770397,0.729363,-0.995709,-0.213678,0.624469,-0.287455,-0.741855,1.28808,0.671501,-1.35065,0.570349,-0.0166799,0.488105,0.0238295,-1.66882,0.112744,-0.937903,-1.11719,-0.564063,-0.463887,0.399659,-1.10468,0.11954,0.53268,-0.341808,0.742458,-0.201618,0.17642,-0.348973,-0.329904,-1.91373,-0.00225012,0.556167,0.0495228,0.203915,-1.20551,-0.382656,-1.08826,-1.46242,-1.48237,1.19166,-1.00276,-1.26836,-1.9426,0.642349,-0.893417,0.710235,-1.4304,1.36469,-1.50294,-1.1871,0.0788356,-0.68441,-0.667444,0.24082
163836,0.00714824,0.00476547,0.0596034,-1.05621,-0.424635,-0.584424,-0.160327,-0.461435,-0.196644,-0.448223,-0.870494,-1.20517,-1.53994,-0.488105,0.488105,0.89157,0.393546,0.72316,0.00900058,1.19625,1.95767,0.229254,-0.0675548,0.98068,0.315682,1.10054,0.468904,-0.0833507,0.171851,-0.00900058,-0.332281,0.0270047,-0.397223,-0.04727,1.113,0.224636,0.617653,0.553542,0.409427,0.00225012,0.7484,1.36469,1.91373,1.46242,0.53268,1.59233,1.69663,1.01022,0.15361,0.13542,0.517185,1.26836,0.754368,1.02915,-0.192441,0.569348,0.577304,1.88636,0.292117
164030,0.526042,-0.980182,0.686504,0.754465,-0.287455,0.741855,0.052444,0.789777,0.78005,0.284972,0.913049,0.531522,-0.0429022,0.822757,0.853222,0.934958,-0.179666,-0.317386,0.18328,0.0225031,0.103691,1.33668,1.18256,-1.57654,0.243137,0.351365,0.33466,-0.072066,1.04844,0.187859,0.745426,0.368169,0.930939,0.409427,0.0292557,0.566704,0.53268,1.51701,0.358555,0.620378,0.944912,-0.486559,1.03297,0.115009,-0.44145,0.561427,0.69583,0.377818,-0.313317,0.69583,-0.380236,0.987985,-0.421692,1.36469,-0.670259,0.724789,1.23875,0.43155,-1.20551
164131,1.08152,0.247938,0.78005,2.42736,1.01946,-0.545294,0.680485,0.345075,2.07461,0.67449,1.073,1.53994,0.822757,1.6693,1.26123,0.365378,2.09556,1.31588,-0.448904,-0.489093,-2.26783,-0.476452,-0.261721,-1.55357,-0.0517758,-1.2836,-0.0991674,-1.39978,0.68441,-0.977047,-1.34775,-1.47566,-0.873472,-1.06021,-0.962642,-0.327529,-1.97319,-1.1214,-1.59233,0.890069,-1.30968,-0.341808,-2.00575,-1.53139,0.00225012,-1.7062,-1.359,-1.4058,-0.667444,-1.01398,-0.821905,-1.75655,0.233877,1.41187,-1.4304,-1.07613,-0.424153,-0.634074,0.815613
164636,1.12981,0.49887,-0.0667659,0.786527,0.627368,1.31588,0.659608,0.355208,0.265175,-0.345075,0.131427,1.0397,1.0438,0.485423,0.324913,0.0858836,1.53994,1.42557,1.65098,2.18724,0.883401,0.569348,1.16908,-0.509484,1.3312,0.713134,6.64E-17,-0.054029,1.41799,1.12563,-0.278056,1.0842,-0.365763,0.365763,0.844189,0.190149,0.160444,-0.0585364,0.137691,1.3762,1.18256,1.41187,1.72582,0.139963,0.358555,0.426616,0.299168,0.504367,1.51701,1.10883,1.11719,0.468904,1.01022,1.78904,1.06417,0.0405132,-1.359,1.37042,0.0607905
164939,-0.448223,-0.448223,0.124221,-0.482744,0.208805,-0.44296,-0.44296,0.422029,-0.677484,-1.22511,0.427244,-1.22008,-0.114621,-0.277536,-0.849798,-0.738722,0.0978477,0.895121,-0.653452,-0.308594,-0.318048,-0.650669,-0.673078,0.0405132,-1.00648,-0.296816,0.00225012,0.144509,-0.687257,-1.01398,0.363358,0.203915,-0.0833507,-1.02915,-1.359,-1.62516,-0.6987,0.299168,-0.101429,-0.553542,-1.08826,-0.506924,-1.62516,-1.22911,-0.318048,-0.356156,-0.39479,-1.27849,-2.04058,-0.724789,-1.8003,-0.681569,-1.81179,-0.197027,-1.29914,-0.416779,-1.06021,-0.466394,-0.0991674
165032,-1.77411,-1.00356,0.501571,0.0619906,-1.37477,-1.4456,0.567548,-0.450859,-2.24583,-0.931276,-1.82209,-1.26123,-1.74063,-0.72316,-1.28808,-1.22511,-1.93303,-1.76273,-1.74612,-1.58439,-2.68832,-2.91205,-1.11719,-2.61294,-2.55001,-2.91205,-2.61294,-2.91205,-1.18256,-2.44806,-2.78299,-2.4958,-2.68832,-2.78299,-2.78299,-1.04455,-2.78299,-2.68832,-2.78299,-2.78299,-2.21253,-1.88636,-2.91205,-2.78299,-2.40533,-3.12215,-2.78299,-3.12215,-2.68832,-2.68832,-2.16327,-1.23875,-1.16022,-1.20087,-1.21487,-0.329904,-0.414326,-1.41187,0.524917
